Laporan Penggunaan Keseluruhan Iklan Pencarian - Shopee Indonesia
Username:,newlab.id
Waktu Laporan Dibuat:,19/05/2023 08:47
Periode:,01/02/2023 - 28/02/2023
ID Toko:,3714573

Urutan,Nama Iklan,Status,Kode Produk,Jenis Iklan,Kata Pencarian/Penempatan,Tanggal Mulai,Tanggal Selesai,Dilihat,Jumlah Klik,Persentase Klik,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung),Jumlah Produk Dilihat,Jumlah Klik Produk,Persentase Klik Produk
1,Minuman Kolagen Pemutih Badan Cepat | NEWLAB Premium Collagen Drink | Collagen Beauty Drink,Berjalan,7586297663,Iklan Produk Serupa,Semua,01/06/2021 23:00,Tidak Terbatas,830930,20573,2.48%,886,582,4.31%,2.83%,10761,16382,929,614,114936649,67724300,9534382,12.05,7.1,8.30%,14.08%,N/A,N/A,N/A
2,Minuman Kolagen Pemutih Badan Cepat | NEWLAB Premium Collagen Drink | Collagen Beauty Drink,Berjalan,7586297663,Iklan Pencarian Produk,Semua,07/08/2021 23:00,Tidak Terbatas,565100,73024,12.92%,6115,4982,8.37%,6.82%,5571,6838,6480,5300,768054299,589398900,34066688,22.55,17.3,4.44%,5.78%,N/A,N/A,N/A
3,NEWLAB Acnalogy Powder Drink | Obat Minum Jerawat | Minuman Antioksidan | Penghilang Bekas Jerawat | Acne Treatment Drink,Berjalan,18956952418,Iklan Produk Serupa,Semua,25/11/2022 00:00,Tidak Terbatas,530333,6759,1.27%,420,216,6.21%,3.20%,5797,11271,446,231,51377499,25395600,2434538,21.1,10.43,4.74%,9.59%,N/A,N/A,N/A
4,PAKET HEMAT 2 | Teh Diet Detoks | NEWLAB Slimlogy Tea Drink | Suplemen pelangsing herbal,Berjalan,9818514683,Iklan Produk Serupa,Semua,11/12/2022 00:00,Tidak Terbatas,485597,4598,0.95%,500,273,10.87%,5.94%,4382,8025,529,288,64199748,39521448,2190794,29.3,18.04,3.41%,5.54%,N/A,N/A,N/A
5,NEWLAB Fiber Drink | Fiber Sayur & Buah Menyerap Minyak | Fiber Rasa Cokelat Pengganti Makan Malam & Pagi,Berjalan,19453415762,Iklan Produk Serupa,Semua,04/12/2022 00:00,Tidak Terbatas,383857,8653,2.25%,428,177,4.95%,2.05%,9559,23114,475,218,60589090,30400491,4091129,14.81,7.43,6.75%,13.46%,N/A,N/A,N/A
6,NEWLAB 7D Pink Lip Serum  I Lipgloss Bening Lip Balm I Serum Bibir Pink Alami,Nonaktif,16708474904,Iklan Produk Serupa,Semua,23/04/2022 00:00,Tidak Terbatas,330453,3377,1.02%,161,137,4.77%,4.06%,4697,5520,166,142,9116900,6506600,756190,12.06,8.6,8.29%,11.62%,N/A,N/A,N/A
7,PAKET HEMAT 2 | Minuman Kolagen Pemutih Badan Cepat | NEWLAB Premium Collagen Drink | Colagen Beauty Drink,Berjalan,12311388148,Iklan Produk Serupa,Semua,27/02/2022 23:00,Tidak Terbatas,291244,5155,1.77%,448,283,8.69%,5.49%,5632,8916,471,293,94659349,75189000,2523314,37.51,29.8,2.67%,3.36%,N/A,N/A,N/A
8,Paket Bundling 2 | Intensive Bright Package NEWLAB | Mini Collagen Beauty Drink | Minuman Kolagen Mini | Brightening Body Lotion AHA | Lotion Serum AHA | Lotion Pemutih Badan,Berjalan,20360946933,Iklan Produk Serupa,Semua,12/12/2022 00:00,Tidak Terbatas,233041,2618,1.12%,244,53,9.32%,2.02%,12643,58205,254,53,35614500,7779000,3084857,11.54,2.52,8.66%,39.66%,N/A,N/A,N/A
9,PAKET HEMAT 2 | Minuman Kolagen Pemutih Badan Cepat | NEWLAB Premium Collagen Drink | Colagen Beauty Drink,Berjalan,12311388148,Iklan Pencarian Produk,Semua,10/12/2022 23:00,Tidak Terbatas,209044,16634,7.96%,2050,1554,12.32%,9.34%,5244,6918,2149,1618,471765899,415554000,10750641,43.88,38.65,2.28%,2.59%,N/A,N/A,N/A
10,PRO TEETH WHITENING KIT Alat Pemutih Gigi Permanen |  NEWLAB Memutihkan Gigi Super Cepat,Berjalan,7315786944,Iklan Pencarian Produk,Semua,10/05/2021 23:00,Tidak Terbatas,192817,19636,10.18%,662,484,3.37%,2.46%,10852,14844,674,489,92033005,72301707,7184287,12.81,10.06,7.81%,9.94%,N/A,N/A,N/A
